                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8919,                 1.7099,                 1.3501,                0.87471,                0.64688,                0.80378,                0.37943,                   1.62,                 1.8489,                 1.2857,             0.00065844,             0.00065844,             0.00065844
                      2,                 1.6063,                 1.0132,                 1.2351,                0.75078,                0.68437,                0.76652,                0.32908,                 1.8702,                 1.5282,                 1.4407,               0.001312,               0.001312,               0.001312
                      3,                  1.581,                0.88361,                 1.2217,                0.87456,                 0.8968,                0.93188,                0.51317,                  1.503,                0.82919,                 1.2802,              0.0019523,              0.0019523,              0.0019523
                      4,                 1.5517,                0.83208,                 1.2162,                0.87452,                 0.8702,                0.92447,                0.50736,                 1.4732,                0.82702,                 1.2654,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5337,                0.79523,                 1.2201,                0.81268,                0.83258,                0.88107,                0.44252,                 1.6533,                0.98094,                 1.3374,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5178,                0.77374,                 1.2119,                0.89386,                0.89967,                0.94158,                0.53604,                 1.4337,                0.73874,                 1.2526,               0.001901,               0.001901,               0.001901
                      7,                  1.491,                0.74918,                 1.1884,                0.90144,                0.89162,                0.94193,                0.54666,                 1.4089,                0.67601,                 1.2425,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4731,                0.71897,                 1.1898,                 0.8755,                0.90416,                0.93527,                0.52518,                  1.472,                0.83256,                 1.2604,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.464,                 0.7163,                 1.1899,                0.91602,                 0.9186,                0.95723,                0.57599,                 1.3619,                0.63693,                 1.2047,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4399,                0.70288,                 1.1779,                0.91642,                0.92316,                0.95998,                0.58768,                 1.3159,                0.62799,                 1.1826,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4408,                0.69449,                 1.1766,                0.90699,                0.92513,                0.95559,                 0.5643,                 1.3397,                0.63518,                 1.2021,               0.001802,               0.001802,               0.001802
                     12,                 1.4428,                0.68789,                 1.1743,                0.90565,                0.92378,                0.95461,                0.56393,                 1.4037,                0.64147,                 1.2417,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4301,                0.67902,                 1.1678,                  0.907,                0.91464,                 0.9518,                0.51526,                 1.5216,                0.66081,                 1.3116,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4254,                 0.6799,                 1.1726,                0.87563,                0.91256,                0.94097,                0.56469,                 1.3626,                0.70026,                 1.2328,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3964,                0.66497,                 1.1591,                0.90893,                0.91917,                0.95726,                0.58479,                 1.3115,                 0.6182,                 1.1877,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3982,                0.66015,                 1.1574,                0.90828,                0.91935,                 0.9557,                0.52774,                 1.5195,                0.65118,                 1.2987,               0.001703,               0.001703,               0.001703
                     17,                 1.4079,                0.65767,                 1.1593,                0.91963,                0.92553,                0.96416,                 0.5965,                 1.2834,                0.59471,                 1.1707,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3875,                0.64829,                 1.1552,                 0.9054,                0.92194,                0.95778,                0.58914,                 1.3025,                 0.6576,                 1.1986,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3812,                0.64675,                 1.1588,                0.90431,                0.92999,                0.95849,                0.59579,                 1.2858,                0.61598,                 1.1783,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3699,                0.63861,                 1.1524,                0.91292,                0.93475,                  0.963,                0.59348,                 1.3159,                0.61269,                 1.1716,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3698,                0.63615,                 1.1448,                0.92284,                0.93117,                0.96386,                0.58178,                 1.3575,                0.59007,                 1.2115,               0.001604,               0.001604,               0.001604
